"matricula","carrera","periodo","numRepPrev","año","semestre","recursada","cantidad_asig","tasa_rep_carga","tasa_rep_asig","quintil_asig","asignatura","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc_asig","tasa_rep_doc","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","año_encurso","complejidad_carga4","complejidad_carga","complejidad_carga5","semestre_Otoño","carga_aprobada","recursando","total_recursando","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular"
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201601,0,2016,"Primavera",0,4,7.24206349206349,10.7142857142857,4,"Ãlgebra lineal",1030,1012,1036,1060,1012,8.4,0,64.5161290322581,2014,0,0,0,1,0,3,4,5,1,0,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,3,11.4919445639269,9.90566037735849,4,"TÃ©cnicas algorÃ­tmicas",1030,1012,1036,1060,1012,8.5,20.3125,36.9747899159664,2014,1,1,0,1,0,3,4,5,1,1,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201701,0,2017,"Primavera",0,3,11.7722883389664,18.716577540107,5.1,"ElectrÃ³nica analÃ³gica",1030,1012,1036,1060,1012,7.33333333333333,32.0388349514563,33.029197080292,2014,1,1,0,1,0,4,4,5,1,0,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,6,18.1387447879885,7.38916256157636,3,"Problemas del mundo contemporÃ¡neo",1030,1012,1036,1060,1012,7.66666666666667,0,3.30578512396694,2014,1,1,0,1,0,4,1,7,1,1,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201801,0,2018,"Primavera",0,7,17.0089225111389,25.5605381165919,5.2,"GeometrÃ­a computacional",1030,1012,1036,1060,1012,8.66666666666667,31.7757009345794,20.5374280230326,2014,1,1,1,1,0,5,1,7,2,0,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201803,0,2018,"Otoño",0,4,8.21167569338261,4.69798657718121,3,"AnÃ¡lisis de grandes volÃºmenes de datos",1030,1012,1036,1060,1012,8.71428571428571,0,0,2014,1,1,0,1,0,5,3,6,2,1,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,6,5.00702645124244,12.4183006535948,4,"MinerÃ­a de datos",1030,1012,1036,1060,1012,9,13.8888888888889,20.5374280230326,2014,1,1,0,1,0,6,3,6,3,0,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",201903,0,2019,"Otoño",0,5,3.40947086638143,9.61538461538461,4,"Seminario de investigaciÃ³n",1030,1012,1036,1060,1012,8.5,0,6.92307692307692,2014,1,1,0,1,0,6,3,6,3,1,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",202001,0,2020,"Primavera",0,6,8.66187857718991,6.89655172413793,3,"PrÃ¡cticas Profesionales I",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.4,6.89655172413793,5.40540540540541,2014,1,1,0,1,0,7,3,6,3,0,1,0,0,0,"Regular",0,0,1
140299892,"Ingeniería en Datos e Inteligencia Organizacional",202003,0,2020,"Otoño",0,2,3.81836945304438,5.88235294117647,3,"PrÃ¡cticas profesionales II",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,9.66666666666667,5.66037735849056,5.40540540540541,2014,1,1,0,1,0,7,3,6,1,1,1,0,0,0,"Regular",0,0,1
