"recursada","tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","asigMuchas","año_encurso","complejidad_carga5","semestre_Otoño","carga_aprobada","total_recursando","situacion_Irregular"
0,7.24206349206349,4,1012,1036,1060,1012,8.4,64.5161290322581,0,0,3,1,0,1,0,0
0,11.4919445639269,4,1012,1036,1060,1012,8.5,36.9747899159664,1,0,3,1,1,1,0,0
0,11.7722883389664,5.1,1012,1036,1060,1012,7.33333333333333,33.029197080292,1,0,4,1,0,1,0,0
0,18.1387447879885,3,1012,1036,1060,1012,7.66666666666667,3.30578512396694,1,0,4,1,1,1,0,0
0,17.0089225111389,5.2,1012,1036,1060,1012,8.66666666666667,20.5374280230326,1,1,5,2,0,1,0,0
0,8.21167569338261,3,1012,1036,1060,1012,8.71428571428571,0,1,0,5,2,1,1,0,0
0,5.00702645124244,4,1012,1036,1060,1012,9,20.5374280230326,1,0,6,3,0,1,0,0
0,3.40947086638143,4,1012,1036,1060,1012,8.5,6.92307692307692,1,0,6,3,1,1,0,0
0,28.5378519716424,5.2,1108,1180,1132,1108,8.4,39.6825396825397,0,0,3,5,0,1,0,0
0,15.8902648749182,5.2,1108,1180,1132,1108,8,38.3419689119171,1,0,3,1,1,1,0,0
0,5.80942245181452,3,1108,1180,1132,1108,8.66666666666667,7.01754385964912,1,0,4,1,0,1,0,0
0,21.2634387427274,5.1,1108,1180,1132,1108,8.2,20.3703703703704,1,0,4,5,1,0,0,0
1,28.5774449098525,5.2,1108,1180,1132,1108,6,24.4791666666667,0.4,0,5,1,1,0,2,0
1,16.9478389048731,5.2,1108,1180,1132,1108,3.5,17.2413793103448,0.5,1,6,4,0,0,1,0
0,0,1,1084,1132,1156,1036,8.4,0,0,0,3,1,0,1,0,0
0,16.1675774448234,5.1,1084,1132,1156,1036,8,49.5049504950495,1,0,3,1,1,1,0,0
0,9.28336427193214,5.1,1084,1132,1156,1036,7.66666666666667,33.029197080292,1,0,4,1,0,1,0,0
0,15.6568550681646,4,1084,1132,1156,1036,7.75,20.5374280230326,1,1,4,4,1,0,0,0
0,14.981399513567,5.2,1084,1132,1156,1036,7.57142857142857,20.5374280230326,1,1,5,2,0,0,1,1
0,6.46513700065479,3,1084,1132,1156,1036,7,0,1,0,5,2,1,1,2,1
0,5.64879421559449,2,1084,1132,1156,1036,8.4,4,1,0,6,3,0,1,0,0
0,6.75816465880768,2,1084,1132,1156,1036,8.2,6.16438356164384,1,1,6,3,1,0,0,0
0,6.11303344867359,1,1156,1012,1084,1108,8.4,0,0,0,3,1,0,1,0,0
0,9.73407718682657,5.1,1156,1012,1084,1108,8,33.9055793991416,1,0,3,1,1,1,0,0
0,6.89397337661782,2,1156,1012,1084,1108,8.5,0,1,0,4,1,0,1,0,0
0,17.9526117954064,2,1156,1012,1084,1108,7.66666666666667,3.70370370370371,1,0,4,1,1,1,0,0
0,21.078147665437,5.2,1156,1012,1084,1108,8.6,20.5374280230326,1,0,5,1,0,1,0,0
0,8.08009674601419,3,1156,1012,1084,1108,8.75,3.36538461538461,1,0,5,2,1,1,0,0
0,7.82675810301323,5.1,1156,1012,1084,1108,9.25,33.029197080292,1,0,6,3,0,1,0,0
0,4.85051220384086,4,1156,1012,1084,1108,8.66666666666667,6.92307692307692,1,1,6,3,1,1,0,0
0,15.1149528010052,1,1084,1180,1108,1180,8.4,0,0,0,3,1,0,1,0,0
0,10.7540629407689,5.1,1084,1180,1108,1180,9,14.2857142857143,1,0,3,1,1,1,0,0
0,12.5684433289923,5.1,1084,1180,1108,1180,8.16666666666667,33.029197080292,1,0,4,1,0,1,0,0
0,21.7254185436911,5.2,1084,1180,1108,1180,8.6,33.5640138408305,1,0,4,1,1,1,0,0
0,20.701445260337,5.2,1084,1180,1108,1180,9,48.1949458483754,1,0,5,1,0,1,0,0
0,6.34924174843889,2,1084,1180,1108,1180,9,38.3419689119171,1,0,5,1,1,1,0,0
0,5.64879421559449,2,1084,1180,1108,1180,8,4,1,0,6,3,0,1,0,0
