"","clave","asignatura","tasa_rep_asig"
"1","II0322","Álgebra lineal",10.7142857142857
"2","IT0105","Organización y estructura de computadoras",7.14285714285714
"3","IT0106","Paradigmas de programación",11.1111111111111
"4","TA0011","Teatro",0
"5","IT0107","Técnicas algorítmicas",9.90566037735849
"6","IT0208","Electrónica digital",15.3284671532847
"7","IT0264","Introducción a los sistemas de información",9.24170616113744
"8","IT0263","Electrónica analógica",18.716577540107
"9","II0320","Ecuaciones diferenciales",10.5932203389831
"10","DP0396","Identidad y cultura",6.00706713780919
"11","DP0497","Problemas del mundo contemporáneo",7.38916256157636
"12","II0422","Taller de emprendedores",0
"13","ID0160","Pensamiento crítico para ingeniería",10.0418410041841
"14","ID0102","Física clásica",38.8157894736842
"15","II0319","Probabilidad y estadística",18.3391003460208
"16","IT0425","Introducción a la inteligencia artificial",34.2465753424658
"17","ID0205","Geometría computacional",25.5605381165919
"18","IL0204","Estadística analítica",9.52380952380952
"19","ID0101","Diseño de patrones para datos estructurados",41.8390804597701
"20","ID0204","Bases de Datos",5.04201680672269
"21","ID0263","Sistemas de planificación de recursos empresariales",16.9014084507042
"22","ID0161","Recursos de comunicación para la era digital",13.0890052356021
"23","ID0206","Interconectividad en redes",7.10659898477157
"24","ID0308","Análisis de grandes volúmenes de datos",4.69798657718121
"25","ID3421","Gestión del conocimiento",2.63157894736842
"26","ID0309","Aprendizaje estadístico",20.1117318435754
"27","NI0423","Planeación estratégica",5.40540540540541
"28","ID0310","Minería de datos",12.4183006535948
"29","ID0307","Ingeniería de software",3.57142857142857
"30","ID3422","Negocios digitales",7.84313725490197
"31","DP0498","Problemas de México",4.08163265306123
"32","ID3470","Programación de aplicaciones de red",0
"33","IT0317","Diseño de interfaces humano-máquina",2.12765957446809
"34","DP0499","Seminario de investigación",9.61538461538461
"35","ID0412","Métodos de desarrollo de software",1.19047619047619
"36","IT0322","Teoría de la información",2.4390243902439
"37","ID0413","Procesamiento de datos en la nube",2.46913580246914
"38","ID3424","Visualización de datos",1.33333333333333
"39","PID0201","Prácticas Profesionales I",6.89655172413793
"40","IT0104","Matemáticas discretas",34.4303797468354
"41","ID3423","Sistemas de apoyo para la toma de decisiones",8.1081081081081
"42","ID3420","Analítica para la inteligencia de negocios",1.66666666666667
"43","IT0423","Administración de proyectos de desarrollo de software",0.869565217391299
"44","NI3431","Marketing en los negocios electrónicos",0
"45","PID0302","Prácticas profesionales II",5.88235294117647
"46","IT0427","Proyecto terminal",1.75438596491229
"47","PID0403","Prácticas profesionales preespecialidad: Inteligencia organizacional y de negocios",0
"48","II0106","Cálculo diferencial",39.5793499043977
"50","IT0103","Introducción a las redes",18.3333333333333
"51","IT0101","Algoritmos y estructura de datos",39.9361022364217
"52","LI0109","Tópicos selectos de inglés",10.410094637224
"53","IT0161","Sistemas operativos POSIX",39.9659863945578
"55","LI0110","Tópicos  2",14.2259414225941
"58","DP0191","Taller de interacción grupal y competencias comunicativas",14.859437751004
"61","PIT0201","Prácticas profesionales I",0
"62","DP0193","Taller de redacción profesional",11.9289340101523
"63","IT0160","Introducción a las base de datos",0
